Session name: Battery(1)
Date: 19/02/2023  Time: 06:48:15 AM
Type: Battrey
Equilibration time: 3
Charge Current: 50mA
disCharge Current: 50mA
Time Start: 0
Time End: 10(sec)
Number of Steps: 101
Number of data:101

Voltage [V]	Real Current [A]	Time [sec]	Current [mA]

-0.00309523082559844	9.15974596971177E-06	0	50
0.53992122618466	0.0526990718124084	0.1	50
0.560595536150464	0.0526547997068881	0.2	50
0.541028028822667	0.0527673882510992	0.3	50
0.541508915486077	0.0527746397166585	0.4	50
0.536276410600879	0.0528032639228139	0.5	50
0.537528242550073	0.0528376129702003	0.6	50
0.535390968490474	0.0527822728382999	0.7	50
0.534849016853933	0.0528051722032242	0.8	50
0.53451315950171	0.0527616634098681	0.9	50
0.534478810454323	0.0527742580605765	1	50
0.5351009098681	0.0528078437957987	1.1	50
0.534242183683439	0.0527532669760625	1.2	50
0.535177241084514	0.0527696781875916	1.3	50
0.535127625793845	0.0528025006106497	1.4	50
0.536421439912066	0.0528097520762091	1.5	50
0.535322270395701	0.0527406723253542	1.6	50
0.538726642647777	0.0528273082559844	1.7	50
0.535787890815828	0.0527929592085979	1.8	50
0.535062744259893	0.0527956308011724	1.9	50
0.535119992672203	0.0527937225207621	2	50
0.535791707376649	0.0528013556424035	2.1	50
0.534967330239375	0.0527441072300928	2.2	50
0.535898571079629	0.0527975390815828	2.3	50
0.536551202979971	0.0527891426477772	2.4	50
0.536318392769907	0.0527872343673669	2.5	50
0.535547447484123	0.052777311309233	2.6	50
0.535948186370298	0.05279334086468	2.7	50
0.53638709086468	0.052836086345872	2.8	50
0.536879427210552	0.0527979207376649	2.9	50
0.536146647532975	0.0527788379335613	3	50
0.535295554469956	0.0528055538593063	3.1	50
0.534810851245725	0.0528009739863214	3.2	50
0.536215345627748	0.0527670065950171	3.3	50
0.535952002931119	0.0528051722032242	3.4	50
0.535215406692721	0.0527685332193454	3.5	50
0.536406173668784	0.0528143319491939	3.6	50
0.53558561309233	0.0527692965315095	3.7	50
0.535245939179287	0.0527929592085979	3.8	50
0.535203957010259	0.0527937225207621	3.9	50
0.535837506106497	0.05279334086468	4	50
0.535074193942355	0.0527963941133366	4.1	50
0.534765052515877	0.0528009739863214	4.2	50
0.534967330239375	0.0528261632877381	4.3	50
0.53531845383488	0.0527883793356131	4.4	50
0.535280288226673	0.0528105153883732	4.5	50
0.53552836468002	0.0528288348803126	4.6	50
0.535455850024426	0.0528227283829995	4.7	50
0.535230672936004	0.0527979207376649	4.8	50
0.53488718246214	0.0528162402296043	4.9	50
0.535501648754275	0.0528108970444553	5	50
0.534768869076698	0.0528059355153884	5.1	50
0.534505526380068	0.0527696781875916	5.2	50
0.534291798974109	0.0527910509281876	5.3	50
0.53478413531998	0.0527944858329262	5.4	50
0.534547508549096	0.0527971574255007	5.5	50
0.534635289447973	0.0527746397166585	5.6	50
0.534417745481192	0.0527570835368832	5.7	50
0.534662005373718	0.0527967757694187	5.8	50
0.534120053737176	0.0527792195896434	5.9	50
0.534028456277479	0.0527551752564729	6	50
0.534196384953591	0.0528212017586712	6.1	50
0.534581857596483	0.0527902876160234	6.2	50
0.535555080605765	0.0528353230337079	6.3	50
0.535097093307279	0.0527948674890083	6.4	50
0.535345169760625	0.0528326514411334	6.5	50
0.534009373473376	0.0527532669760625	6.6	50
0.534852833414753	0.052804027234978	6.7	50
0.534745969711773	0.0527918142403517	6.8	50
0.53483375061065	0.0528387579384465	6.9	50
0.535379518808012	0.0528181485100147	7	50
0.535497832193454	0.0528032639228139	7.1	50
0.535161974841231	0.052809370420127	7.2	50
0.534223100879336	0.0527776929653151	7.3	50
0.534627656326331	0.0528078437957987	7.4	50
0.535081827063996	0.0528616573033708	7.5	50
0.534436828285296	0.0527899059599414	7.6	50
0.534383396433806	0.0527765479970689	7.7	50
0.534581857596483	0.0527956308011724	7.8	50
0.534952063996092	0.0528143319491939	7.9	50
0.534558958231558	0.0527712048119199	8	50
0.534062805324866	0.0527650983146067	8.1	50
0.534024639716658	0.0527712048119199	8.2	50
0.534280349291646	0.0527692965315095	8.3	50
0.534326148021495	0.0528066988275525	8.4	50
0.536104665363947	0.0527685332193454	8.5	50
0.539879244015633	0.0527990657059111	8.6	50
0.536810729115779	0.0528070804836346	8.7	50
0.534368130190523	0.0528070804836346	8.8	50
0.541123442843185	0.0527601367855398	8.9	50
0.996156723253542	0.00797661211529067	9	50
0.996156723253542	0.00692133304836346	9.1	50
0.996156723253542	0.00686179469956033	9.2	50
0.996156723253542	0.00686141304347826	9.3	50
0.996156723253542	0.00684042195896434	9.4	50
0.996156723253542	0.00683775036638984	9.5	50
0.996156723253542	0.00682439240351734	9.6	50
0.996156723253542	0.00681714093795799	9.7	50
0.996156723253542	0.00682286577918906	9.8	50
0.996156723253542	0.00679920310210063	9.9	50
0.996156723253542	0.00680072972642892	10	50
