Session name: EIS(1)
Date: 10/10/2021  Time: 03:11:28 AM
Type: EIS
Equilibration time: 3
DC Voltage: 0(Volt)
AC Voltage: 0.2(mV)
Frequency Start: 5000(Hz)
Frequency End: 50000(Hz)
Number of Steps: 50(Hz)
Number of data:50

Frequency [Hz]  	Re(Z) [Ohm]     	-Im(Z) [Ohm]     	R [Ohm]         	Theta [Degree]  

4999.99523162842	1.04659484507967	-44.7084921953436	44.7207405478805	1.54739129387953
5240.55957794189	0.993439274465602	-47.2859819285393	47.2964164449929	1.54979024614478
5492.6872253418	0.973318104661717	-49.9133979322014	49.9228869484844	1.55129866077107
5756.97422027588	1.02045766299775	-52.8759319321727	52.885777970431	1.55149962671855
6033.95700454712	0.971962290918345	-55.9306735067696	55.939118241315	1.55342009287254
6324.23162460327	0.996719647020525	-59.2395667089063	59.2479511368428	1.55397267893491
6628.51333618164	0.957339094933141	-62.7962725550734	62.8035695239828	1.55555234972875
6947.45779037476	0.962636342472733	-66.6739308115295	66.6808797076679	1.55635935794779
7281.72063827515	0.954040893350143	-70.8391475461043	70.8455716264957	1.55732943381784
7632.07674026489	1.09754775792636	-75.3778291927509	75.3858192559612	1.55623673791759
7999.2413520813	0.889886250832647	-80.3538438802323	80.3587712939177	1.5597221848495
8384.108543396	1.12710929326301	-88.4141887423299	88.421372678348	1.55804895831697
8787.51277923584	1.06983279757594	-94.6859328073301	94.6919765017554	1.55949805635747
9210.34812927246	0.943806269158338	-101.657478247814	101.661859386785	1.56151241409718
9653.44905853271	0.878741708353332	-109.25833589986	109.261869609652	1.56275371151716
10117.9480552673	1.29640914478009	-117.708729600234	117.715868517255	1.55978306776027
10604.7391891479	1.84782694533693	-127.478795551306	127.492187131728	1.55630217082151
11114.9549484253	1.86336374975744	-138.112471886058	138.12504123055	1.55730550531102
11649.7278213501	1.98729763880022	-151.804722067351	151.81772951092	1.55770592949373
12210.2499008179	2.41871558181063	-167.370942596703	167.388418389011	1.55634610507685
12797.7132797241	2.15757161586482	-177.526319230995	177.539429803587	1.55864339418073
13413.4292602539	3.22947515048587	-198.592222742155	198.618479612088	1.55453591903298
14058.8283538818	2.65175305896747	-226.300773234586	226.316309091628	1.55907903717813
14735.221862793	4.02992146770236	-259.274307711535	259.305624517347	1.55525449766312
15444.1595077515	4.90523876229701	-306.454439386664	306.493694530752	1.55479127260121
16187.2506141663	6.18408946847849	-373.148510596334	373.199750700368	1.55422511393542
16966.1045074463	10.3797472883036	-477.195509367101	477.308383871367	1.54904819514284
17782.3901176453	23.4691458007568	-645.399602595631	645.826174628449	1.53444859847621
18637.9551887512	49.4816763234087	-1061.252294062	1062.40522774675	1.52420432766423
19534.6474647522	199.132882948163	-2414.39467510005	2422.59273346197	1.48850523151447
20474.5531082153	1673.88365676424	5249.29794583763	5509.72008549958	-1.26211183415299
21459.6390724182	101.023853166522	1361.70293291759	1365.44523743173	-1.49674264494309
22492.1107292175	32.6977722504001	754.246271177552	754.954688637259	-1.52747186774603
23574.2926597595	14.5102070266309	522.789057023163	522.990386384993	-1.54304807437662
24708.5094451904	10.9967008385714	394.58291977684	394.736124529982	-1.54293436267832
25897.3240852356	7.64469385052547	317.392792976973	317.484844327713	-1.54671507408205
27143.3591842651	5.79036795260551	264.716106436016	264.779427765207	-1.54892593592057
28449.2969512939	4.63244813415117	226.557544686127	226.604899836526	-1.55035206078055
29818.058013916	4.24406730289165	193.085328656986	193.131965893395	-1.54881959739436
31252.7418136597	3.06750553825255	154.802812808988	154.833202007198	-1.55098335256686
32756.3881874084	2.68638812058285	137.244425101427	137.270713928921	-1.55122507559624
34332.3945999146	2.58582915971163	123.101136402935	123.128292021522	-1.54979368610783
35984.2777252197	2.68956866659652	134.391728319774	134.418638664391	-1.55078609465894
37715.5542373657	2.19817883180133	121.546554922518	121.566430414441	-1.5527132208819
39530.1580429077	2.27199660241205	110.605107891052	110.628440557356	-1.55025769917323
41432.0826530457	1.97289348767165	101.112865977124	101.132111491956	-1.55128700759071
43425.5599975586	1.97281893687212	91.892023722836	91.913198390851	-1.54933074315066
45514.8816108704	1.60800141419627	73.0873867939606	73.1050735374643	-1.54879879602582
47704.7562599182	1.82110216263945	66.4511185163087	66.4760676120006	-1.54339804515934
49999.9523162842	1.55893434444307	60.7818334327478	60.8018219442196	-1.54515391757869
