Session name: Session 1
Date: 20/06/2019  Time: 15:59:59 PM
Type: Linear sweep
Equilibration time: 3
Voltage Start: -5(Volt)
Voltage End: 5(Volt)
Velocity: 2.02061022428774(V/s)
Time step: 49(ms)
Number of data:101

Voltage [V]	Current [A]	Time [sec]	Real Voltage [V]
3.9	0.00379845123961895	4.361	4.03130723164031
4	0.00389387480153884	4.41	4.1406974978836
4.1	0.00398695117855398	4.459	4.2462406708196
4.2	0.00408586689362482	4.508	4.35293453684305
4.3	0.00418400975512946	4.557	4.45710947272483
4.4	0.00427980543172936	4.606	4.56078062257827
4.5	0.00437490458597948	4.655	4.66391936219723
4.6	0.00447845742244748	4.704	4.76983464981325
4.7	0.00458169539264778	4.753	4.88297468706288
4.8	0.00467567820285784	4.802	4.98554666739996
4.9	0.00477424088605276	4.851	5.08886287709708
5	0.00487412028273083	4.9	5.19802987453235
